Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
SCIENTEX SUNGAI DUA,TASEK GELUGOR,PENANG,FREEHOLD,TERRACE HOUSE,331800.0,304.0,104
BANDAR PUTRA,KULAI,JOHOR,FREEHOLD,CLUSTER HOUSE,590900.0,322.0,175
BANDAR PUTRA,KULAI,JOHOR,FREEHOLD,TERRACE HOUSE,590900.0,322.0,104
TAMAN LAGENDA TROPIKA TAPAH,CHENDERIANG,PERAK,FREEHOLD,TERRACE HOUSE,229954.0,130.0,104
SCIENTEX JASIN MUTIARA,BEMBAN,MELAKA,FREEHOLD,TERRACE HOUSE,255600.0,218.0,104
TAMAN LAGENDA AMAN,TAPAH,PERAK,LEASEHOLD,TERRACE HOUSE,219300.0,168.0,104
TAMAN IMPIAN EMAS,TEBRAU,JOHOR,FREEHOLD,SEMI D,738000.0,328.0,84
TAMAN IMPIAN EMAS,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,738000.0,328.0,104
TAMAN KOTA MASAI,PASIR GUDANG,JOHOR,FREEHOLD,TERRACE HOUSE,345000.0,323.0,104
TAMAN LAGENDA TELUK INTAN,TELUK INTAN,PERAK,LEASEHOLD,CLUSTER HOUSE,236594.0,126.0,175
TAMAN LAGENDA TELUK INTAN,TELUK INTAN,PERAK,LEASEHOLD,TERRACE HOUSE,236594.0,126.0,104
BANDAR SCIENTEX JASIN,JASIN,MELAKA,FREEHOLD,TERRACE HOUSE,180000.0,188.0,104
BANDAR BUKIT RAJA,KAPAR,SELANGOR,FREEHOLD,TERRACE HOUSE,793888.0,496.0,104
TAMAN IMPIANA KESANG,BEMBAN,MELAKA,LEASEHOLD,TERRACE HOUSE,128730.0,92.0,104
TAMAN BUKIT INDAH,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,TERRACE HOUSE,695000.0,425.0,104
TAMAN NUSA SERI CENGAL 2 & 3,NILAI,NEGERI SEMBILAN,LEASEHOLD,TERRACE HOUSE,359000.0,194.0,104
BANDAR DATO' ONN,TEBRAU,JOHOR,FREEHOLD,SEMI D,750000.0,450.0,84
BANDAR DATO' ONN,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,750000.0,450.0,104
TAMAN UNIVERSITI,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,394000.0,307.0,104
TAMAN JOHOR JAYA,JOHOR BAHRU,JOHOR,FREEHOLD,TERRACE HOUSE,450000.0,326.0,104
TAMAN PUTERA INDAH,BATU PAHAT,JOHOR,FREEHOLD,CLUSTER HOUSE,400000.0,214.0,175
TAMAN PUTERA INDAH,BATU PAHAT,JOHOR,FREEHOLD,TERRACE HOUSE,400000.0,214.0,104
TAMAN KIRANA,KLUANG,JOHOR,LEASEHOLD,TERRACE HOUSE,170800.0,125.0,104
TAMAN BESTARI INDAH,ULU TIRAM,JOHOR,FREEHOLD,TERRACE HOUSE,832000.0,471.0,104
TAMAN MUTIARA RINI,SKUDAI,JOHOR,LEASEHOLD,TERRACE HOUSE,672000.0,396.0,104
TAMAN BUKIT PERDANA,KLUANG,JOHOR,FREEHOLD,CLUSTER HOUSE,343400.0,140.0,175
TAMAN SCIENTEX,PASIR GUDANG,JOHOR,FREEHOLD,CLUSTER HOUSE,380000.0,387.0,175
TAMAN SCIENTEX,PASIR GUDANG,JOHOR,FREEHOLD,TERRACE HOUSE,380000.0,387.0,104
BANDAR BARU PERMAS JAYA,PERMAS JAYA,JOHOR,FREEHOLD,TERRACE HOUSE,500000.0,392.0,104
TAMAN DAYA,TEBRAU,JOHOR,FREEHOLD,CLUSTER HOUSE,504000.0,331.0,172
TAMAN DAYA,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,504000.0,331.0,104
HORIZON HILLS,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,TERRACE HOUSE,1180000.0,500.0,104
BUKIT SENTOSA,SERENDAH,SELANGOR,FREEHOLD,BUNGALOW,290000.0,232.0,70
BUKIT SENTOSA,SERENDAH,SELANGOR,FREEHOLD,TERRACE HOUSE,290000.0,232.0,104
D'SUMMIT RESIDENCES,SKUDAI,JOHOR,FREEHOLD,SERVICE RESIDENCE,452900.0,602.0,50
BANDAR BARU SRI KLEBANG,CHEMOR,PERAK,FREEHOLD,SEMI D,472800.0,235.0,84
BANDAR BARU SRI KLEBANG,CHEMOR,PERAK,FREEHOLD,TERRACE HOUSE,472800.0,235.0,104
TAMAN DESA TEBRAU,TEBRAU,JOHOR,FREEHOLD,CLUSTER HOUSE,930000.0,470.0,163
TAMAN DESA TEBRAU,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,930000.0,470.0,104
TAMAN PAGOH JAYA - TR 428,PAGOH,JOHOR,FREEHOLD,TERRACE HOUSE,80000.0,74.0,104
TAMAN AROWANA [LENGGENG],LENGGENG,NEGERI SEMBILAN,LEASEHOLD,TERRACE HOUSE,476240.0,310.0,104
TAMAN PERLING,PERLING,JOHOR,FREEHOLD,TERRACE HOUSE,527500.0,286.0,104
LAYANGGKASA,PASIR GUDANG,JOHOR,FREEHOLD,TERRACE HOUSE,551650.0,384.0,104
